R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
135,Andreas Christensen ,22,1,Chelsea  ,1,0,0,DF,0,0,1,23(4),2071,0,0,0,0,0.4,93.4,2.1,0,6.8,6.23,0.2,1,0.6,3.9,1.4
136,Yohan Cabaye ,32,1,Crystal Palace ,0,1,0,MF,0,0,0,28(3),2389,0,1,7,0,1.2,82.4,0.2,1,6.8,6.33,0.3,2.3,0.1,0.9,2.5
137,Patrick van Aanholt,27,1,Crystal Palace ,0,1,0,DF,0,0,1,25(3),2186,5,1,7,0,1.2,77.2,0.2,1,6.8,6.03,0.9,1.7,0.2,2,1.7
138,Jack Stephens ,24,1,Southampton  ,0,0,1,DF,0,0,1,22,1980,2,0,6,1,0.5,75.5,2,1,6.79,6.08,0.8,1.3,0.8,4.8,1.9
139,Dale Stephens ,29,1,Brighton  ,0,1,0,MF,0,0,0,36,3240,0,3,6,0,0.5,83.9,0.8,0,6.79,6.34,0.5,2.8,0.4,1.9,1.8
140,H?ctor Beller?n ,23,1,Arsenal  ,0,1,0,DF,0,0,1,34(1),3051,2,3,5,0,0.8,84.9,1,0,6.79,6.18,0.7,1.6,0.2,2,0.7
141,Chris Wood ,26,0,Burnley  ,0,1,0,FW,1,0,0,20(4),1634,10,1,1,0,1.6,60.2,3.5,1,6.79,6.43,0.3,0.3,0.2,0.7,0
142,Ciaran Clark ,28,0,Newcastle United ,0,1,0,DF,0,0,1,19(1),1745,2,1,3,0,0.6,71.7,2.1,0,6.79,6.19,0.2,1.3,0.5,7,0.9
143,Georginio Wijnaldum ,27,1,Liverpool  ,1,0,0,MF,0,0,0,27(6),2387,1,2,1,0,1.2,89.9,0.5,0,6.79,6.36,1.3,1,0.1,0.6,0.8
144,Anthony Knockaert ,26,1,Brighton  ,0,1,0,MF,0,0,0,27(6),2427,3,1,4,1,1.4,83.3,0.5,4,6.79,6.41,1.8,1.2,0.1,0.4,0.7
145,Bernardo Silva ,23,1,Manchester City ,1,0,0,MF,0,0,0,15(20),1520,6,4,0,0,0.7,87,0.1,1,6.79,6.22,0.8,0.8,0,0.3,0.3
146,James Milner ,32,1,Liverpool  ,1,0,0,MF,0,0,0,16(16),1764,0,3,3,0,0.7,86.4,0.7,1,6.78,6.66,0.4,1.8,0.2,0.7,0.7
147,Dusan Tadic ,29,1,Southampton  ,0,0,1,MF,0,0,0,34(2),2813,6,3,4,0,1.1,74.8,0.2,2,6.78,6.22,1.5,1.3,0.1,0.5,0.5
148,Steve Mounie ,23,0,Huddersfield  ,0,0,1,FW,1,0,0,21(7),1858,7,1,2,0,1.8,62,5.2,3,6.78,5.83,0.5,0.4,0.1,1,0.3
149,Salom?n Rond?n ,28,0,West Bromwich Albion,0,0,1,FW,1,0,0,32(4),2772,7,3,4,0,2.2,67,4.5,2,6.77,5.92,1.3,0.4,0,0.6,0.4
150,Steven Defour ,30,1,Burnley  ,0,1,0,MF,0,0,0,24,2009,1,1,6,0,0.8,83.8,0.2,0,6.77,6.42,0.5,1.4,0.3,0.8,1.9
151,Jonny Evans ,30,1,West Bromwich Albion,0,0,1,DF,0,0,1,26(2),2273,2,2,7,0,0.4,80,1.9,1,6.76,6,0.3,1,0.5,4.4,1.7
152,Daryl Janmaat ,29,1,Watford  ,0,1,0,DF,0,0,1,21(2),1822,3,0,3,0,1,75.9,1.2,1,6.76,6.22,0.4,2,0.2,2.3,1.4
153,Jonathan Hogg ,29,1,Huddersfield  ,0,0,1,MF,0,0,0,29(1),2408,0,0,8,1,0.4,85.1,1.2,1,6.76,5.85,0.3,3.1,0.4,1.5,2.3
154,Jos? Holebas ,34,1,Watford  ,0,1,0,DF,0,0,1,26(2),2382,0,4,7,0,0.6,68.4,1.6,0,6.76,5.94,0.8,1.8,0.3,2.9,1
155,Angelo Ogbonna ,30,1,West Ham ,0,1,0,DF,0,0,1,32,2880,1,0,3,0,0.3,79.7,2.5,0,6.76,5.88,0.3,1,0.8,6,1.8
156,Federico Fern?ndez ,29,0,Swansea  ,0,0,1,DF,0,0,1,30,2677,1,1,5,0,0.3,82.3,2.4,1,6.76,6.16,0,1.3,0.9,6.6,1.3
157,Mame Biram Diouf,30,0,Stoke  ,0,0,1,FW,1,0,0,30(5),2602,6,2,6,0,1.7,57.3,4.1,2,6.76,6.13,0.3,1.4,0,2,0.4
158,Paul Dummett ,26,1,Newcastle United ,0,1,0,DF,0,0,1,19(1),1603,0,0,1,0,0.2,69.4,2.8,0,6.76,5.67,0,1.4,0.5,4.6,1.2
159,Marcus Rashford ,20,1,Manchester United ,1,0,0,FW,1,0,0,17(18),1810,7,5,3,0,1.7,78.3,0.5,1,6.76,6,1.3,0.4,0,0.4,0.2
160,Kiko Femen?a ,27,1,Watford  ,0,1,0,DF,0,0,1,19(4),1715,1,1,2,0,0.4,83.2,0.4,0,6.76,5.9,1.1,1.6,0.1,1.3,1.5
161,DeAndre Yedlin ,25,0,Newcastle United ,0,1,0,DF,0,0,1,31(3),2842,0,2,5,0,0.2,75,1.4,0,6.75,6.33,0.9,1.7,0.2,2.7,1.3
162,Davy Pr?pper ,26,1,Brighton  ,0,1,0,MF,0,0,0,35,3120,0,4,2,1,1,78.1,1.4,0,6.75,6.21,1.1,2.1,0.3,2,1.7
163,James McArthur ,30,1,Crystal Palace ,0,1,0,MF,0,0,0,27(6),2434,5,1,5,0,0.9,79.1,1.2,0,6.75,6.52,0.8,1.8,0.1,1.1,1.1
164,Pablo Zabaleta ,33,0,West Ham ,0,1,0,DF,0,0,1,37,3291,0,1,9,0,0.2,73.2,1.6,0,6.75,5.68,0.2,2.6,0.4,3.4,1.6
165,Joselu  ,28,1,Newcastle United ,0,1,0,FW,1,0,0,19(11),1716,4,1,2,0,1.6,62.7,4.8,0,6.74,6.35,0.2,0.7,0.1,1.2,0.4
166,Etienne Capoue ,30,1,Watford  ,0,1,0,MF,0,0,0,18(5),1542,1,0,3,0,1,82.4,1.8,0,6.74,5.62,0.6,1.9,0,1.5,1.9
167,Jack Cork ,29,1,Burnley  ,0,1,0,MF,0,0,0,38,3420,2,1,7,0,0.4,80.6,1.5,0,6.74,5.96,0.8,1.6,0.4,2.1,1.1
168,Ayoze P?rez ,24,1,Newcastle United ,0,1,0,FW,1,0,0,28(8),2497,8,5,3,0,1.7,71.3,1.2,3,6.74,6,0.9,1.1,0,0.7,0.7
169,Matt Phillips ,27,1,West Bromwich Albion,0,0,1,MF,0,0,0,23(7),2097,2,2,3,0,0.9,72.6,1.2,0,6.73,6.29,1.5,0.9,0,0.9,0.8
170,Lewis Cook ,21,1,Bournemouth  ,0,1,0,MF,0,0,0,25(4),2239,0,2,5,0,0.6,79.4,0.5,0,6.73,6.33,1.7,2.3,0.4,0.7,1.2
171,Ilkay G?ndogan ,27,1,Manchester City ,1,0,0,MF,0,0,0,15(15),1510,4,1,3,0,1.2,91.7,0.1,0,6.73,6,0.9,0.9,0,0.3,0.5
172,Adam Smith ,27,1,Bournemouth  ,0,1,0,DF,0,0,1,22(5),2069,1,3,6,0,0.5,82.3,0.6,0,6.73,6.18,1.1,1.8,0.3,2.1,1.1
173,Leighton Baines ,33,1,Everton  ,0,1,0,DF,0,0,1,22,1910,2,3,1,0,0.3,80.1,0.6,1,6.73,6.13,0.4,1.1,0.3,2.1,1.1
174,Andrew Surman ,31,0,Bournemouth  ,0,1,0,MF,0,0,0,20(5),1852,2,5,2,0,0.7,84.4,1.4,1,6.73,6.13,0.5,0.6,0.5,2,0.6
175,Erik Pieters ,29,1,Stoke  ,0,0,1,DF,0,0,1,30(1),2720,0,1,5,0,0.1,71.7,1.7,1,6.73,6.06,0.3,2.3,0.8,3.4,2
176,Dominic Calvert0Lewin ,21,1,Everton  ,0,1,0,FW,1,0,0,18(14),1876,4,6,4,0,1.3,60.9,4.2,2,6.72,6.45,0.7,0.5,0,0.7,0.3
177,Ryan Fraser ,24,1,Bournemouth  ,0,1,0,MF,0,0,0,23(3),2010,5,3,0,0,1.2,76.6,0.3,1,6.71,5.84,0.4,0.4,0.2,1.1,0.7
178,Zanka  ,28,1,Huddersfield  ,0,0,1,DF,0,0,1,38,3420,0,2,6,0,0.3,76.7,2.3,1,6.71,6.37,0.1,1.4,0.5,6.3,2
179,Jonjo Shelvey ,26,1,Newcastle United ,0,1,0,MF,0,0,0,25(5),2269,1,3,2,2,1.4,72.4,0.7,1,6.7,6.2,0.8,1.3,0.2,0.9,0.9
180,Bruno  ,37,1,Brighton  ,0,1,0,DF,0,0,1,23(2),2018,0,0,3,0,0.1,82,1.1,0,6.7,5.79,0.6,1.2,0.4,2.4,1.5
181,Ashley Williams ,33,1,Everton  ,0,1,0,DF,0,0,1,20(4),1835,1,0,3,1,0.5,80.7,2.2,1,6.7,6.58,0.1,1,1,7.1,1.5
182,Aaron Cresswell ,28,1,West Ham ,0,1,0,DF,0,0,1,35(1),3073,1,7,7,0,0.6,77.2,1.6,0,6.69,5.72,0.1,1,0.5,3.1,1.3
183,Kieran Gibbs ,28,1,West Bromwich Albion,0,0,1,DF,0,0,1,32(1),2831,0,1,3,0,0.3,74.9,1.3,0,6.69,5.83,0.7,1.2,0.4,2.5,1.5
184,Sofiane Boufal ,24,0,Southampton  ,0,0,1,MF,0,0,0,11(15),1215,2,2,1,0,1.2,78.6,0.2,1,6.68,5.96,2.3,1.4,0,0.2,0.2
185,Leroy Fer ,28,1,Swansea  ,0,0,1,MF,0,0,0,15(5),1399,1,1,5,0,0.6,81,2.1,0,6.67,6.15,1.3,2.2,0.2,1.2,0.6
186,Geoff Cameron ,33,0,Stoke  ,0,0,1,DF,0,0,1,17(3),1526,0,0,2,0,0.3,72.3,2,0,6.67,6.3,0.7,1.7,0.4,3.1,1.8
187,Tom Cleverley ,28,1,Watford  ,0,1,0,MF,0,0,0,22(1),1905,1,2,1,1,0.7,82.3,1,0,6.66,7.14,0.2,2.1,0,0.8,1.1
188,Pedro  ,30,1,Chelsea  ,1,0,0,MF,0,0,0,17(14),1524,4,2,1,0,1.8,83,0,0,6.66,6.68,1.1,0.6,0,0.2,0.4
189,Ryan Bertrand ,28,1,Southampton  ,0,0,1,DF,0,0,1,35,3137,0,4,2,0,0.6,78.9,1.3,0,6.66,5.86,0.5,1.4,0.3,1.7,1.3
190,Jeffrey Schlupp ,25,0,Crystal Palace ,0,1,0,DF,0,0,1,21(3),1748,0,1,3,0,0.6,74.2,1.6,0,6.66,6.12,0.5,2.4,0.3,2.3,1
191,Jordon Ibe ,22,1,Bournemouth  ,0,1,0,MF,0,0,0,22(10),2002,2,6,1,0,1.7,80.4,0.1,2,6.65,6.14,1.2,0.4,0,0.3,0.3
192,Adrian Mariappa ,31,0,Watford  ,0,1,0,DF,0,0,1,24(4),2209,0,0,4,0,0.4,77,3.2,0,6.65,6.26,0.1,1.6,0.6,4.6,1.6
193,Charlie Daniels ,31,1,Bournemouth  ,0,1,0,DF,0,0,1,34(1),3005,1,3,0,0,0.6,78.7,1.3,0,6.64,6.26,0.4,1.4,0.2,2.7,0.9
194,Oumar Niasse ,28,0,Everton  ,0,1,0,FW,1,0,0,10(12),1083,8,2,2,0,1.7,62.4,1.5,1,6.64,6.08,0.9,0.5,0.1,0.3,0.1
195,Nathan Redmond ,24,1,Southampton  ,0,0,1,MF,0,0,0,22(9),1947,1,3,3,0,1.4,76.7,0.1,2,6.64,6.1,1.8,1,0,0.5,0.5
196,Steven Davis ,33,1,Southampton  ,0,0,1,MF,0,0,0,17(6),1521,3,0,0,0,0.6,83.6,0.6,0,6.64,6.61,0.4,1.3,0.3,1,0.7
197,Wayne Rooney ,32,1,Everton  ,0,1,0,FW,1,0,0,27(4),2284,10,2,5,0,1.5,77.7,0.8,2,6.64,6.11,0.3,0.9,0.2,1.2,0.5
198,Jos? Izquierdo ,26,1,Brighton  ,0,1,0,MF,0,0,0,23(9),1989,5,3,2,0,1.6,78.4,0.5,0,6.62,6.3,0.9,0.8,0,0.8,0.5
199,Grzegorz Krychowiak ,28,1,West Bromwich Albion,0,0,1,MF,0,0,0,20(7),1643,0,2,2,0,0.6,78.4,1,0,6.62,6,0.7,1.5,0.2,0.9,1.7
200,Andr? Carrillo ,27,0,Watford  ,0,1,0,MF,0,0,0,16(12),1537,1,2,2,0,0.9,76.6,0.5,1,6.62,5.87,2.1,1.1,0,0.4,0.5
201,Jay Rodriguez ,28,1,West Bromwich Albion,0,0,1,FW,1,0,0,31(6),2824,7,1,2,0,1.9,72.3,2.1,2,6.61,6.29,0.8,0.8,0.1,1,0.5
202,Troy Deeney ,30,1,Watford  ,0,1,0,FW,1,0,0,20(9),1842,5,2,1,1,1.2,56.6,4.7,1,6.61,6.24,0.1,0.5,0,0.7,0.2
203,Wes Morgan ,34,0,Leicester  ,0,1,0,DF,0,0,1,32,2818,0,0,4,0,0.4,81.1,2.9,0,6.61,6.22,0.3,1.1,0.8,4.5,1
204,Pierre0Emile H©ªjbjerg ,22,1,Southampton  ,0,0,1,MF,0,0,0,19(4),1671,0,0,6,0,0.7,85,1.2,0,6.61,6.08,0.9,2,0.1,1,1.6
205,Davide Zappacosta ,26,1,Chelsea  ,1,0,0,DF,0,0,1,12(10),1096,1,1,0,0,1.1,84.9,0.6,0,6.61,5.67,0.6,1.2,0.1,0.9,0.3
206,Ki Sung0yueng ,29,0,Swansea  ,0,0,1,MF,0,0,0,21(4),1870,2,2,2,0,0.8,88,0.2,1,6.61,6.55,0.3,1,0,0.8,1.3
207,Ander Herrera ,28,1,Manchester United ,1,0,0,MF,0,0,0,13(13),1262,0,2,5,0,0.5,87.6,0.3,0,6.6,6.43,0.4,2.2,0.2,0.8,1.3
208,Solly March ,24,1,Brighton  ,0,1,0,MF,0,0,0,18(18),1844,1,1,3,0,0.8,77.8,0.6,1,6.6,6.1,1.3,1.5,0.1,0.8,0.4
209,Ga?tan Bong ,30,0,Brighton  ,0,1,0,DF,0,0,1,25,2238,0,0,2,0,0.2,70.5,1.2,0,6.59,6.35,0.6,1.6,0.2,2.8,1.6
210,Glenn Murray ,34,1,Brighton  ,0,1,0,FW,1,0,0,25(10),2198,12,0,9,0,1.5,55.1,3.3,3,6.59,6.04,0.2,0.5,0.1,0.8,0.1
211,James Ward0Prowse ,23,1,Southampton  ,0,0,1,MF,0,0,0,20(10),1717,3,3,3,0,0.9,78.8,0.7,1,6.58,5.8,0.2,0.8,0,0.6,0.3
212,Chicharito  ,30,0,West Ham ,0,1,0,FW,1,0,0,16(12),1544,8,0,3,0,1,73.2,0.5,1,6.58,6.28,0.8,0.4,0,0,0.2
213,Danny Simpson ,31,0,Leicester  ,0,1,0,DF,0,0,1,27(1),2313,0,0,4,0,0.1,74.4,1.4,0,6.58,6.21,0.4,1.4,0.7,3.4,1.2
214,Dan Gosling ,28,1,Bournemouth  ,0,1,0,MF,0,0,0,21(7),1944,2,1,8,0,0.8,77.2,1.9,0,6.58,5.82,0.6,1.8,0.3,0.9,0.9
215,Shinji Okazaki ,32,0,Leicester  ,0,1,0,FW,1,0,0,17(10),1330,6,2,2,0,1,73.3,1.1,1,6.58,6.48,0.6,0.9,0,0.2,0.3
216,Laurent Depoitre ,29,1,Huddersfield  ,0,0,1,FW,1,0,0,18(15),1811,6,1,1,0,0.8,57.1,3.8,4,6.58,6.03,0.4,0.4,0.1,1.1,0.3
217,Allan Nyom ,30,0,West Bromwich Albion,0,0,1,DF,0,0,1,25(4),2309,0,1,7,0,0.1,76.2,0.8,1,6.57,6.17,0.3,2.2,0.3,2.9,0.9
218,C?dric Soares ,26,1,Southampton  ,0,0,1,DF,0,0,1,32,2797,0,3,3,0,0.7,73.3,1,0,6.57,5.71,0.2,1.7,0.3,2.6,0.8
219,Timothy Fosu0Mensah ,20,1,Crystal Palace ,0,1,0,DF,0,0,1,17(4),1594,0,0,2,0,0.4,74.5,0.9,0,6.57,5.96,0.5,2,0.4,3.1,1.5
220,Ashley Barnes ,28,1,Burnley  ,0,1,0,FW,1,0,0,21(15),2159,9,0,10,0,1.7,60.8,2.5,1,6.57,5.8,0.4,0.6,0.1,0.5,0.1
221,Gareth Barry ,37,1,West Bromwich Albion,0,0,1,MF,0,0,0,22(3),1927,1,1,4,0,0.6,76.5,1.3,0,6.57,6.38,0.4,1.4,0.4,1.3,0.6
222,Morgan Schneiderlin ,28,1,Everton  ,0,1,0,MF,0,0,0,24(6),2129,0,0,5,1,0.2,83.9,1.2,0,6.57,6.52,0.2,1.9,0.2,2,2
223,Sebastian Pr?dl ,31,1,Watford  ,0,1,0,DF,0,0,1,17(4),1568,0,0,5,0,0.4,78.2,2.1,0,6.54,6.29,0,1,0.4,4.2,1.5
224,Rajiv van La Parra,27,1,Huddersfield  ,0,0,1,MF,0,0,0,26(7),2146,3,0,3,1,1.3,79.5,0.4,1,6.54,5.93,2.1,1.2,0,0.2,0.6
225,Callum Wilson ,26,1,Bournemouth  ,0,1,0,FW,1,0,0,23(5),1991,8,2,0,0,1.9,70.5,0.8,2,6.53,5.5,0.6,0.3,0.1,0.5,0.1
226,Jake Livermore ,28,1,West Bromwich Albion,0,0,1,MF,0,0,0,30(4),2675,2,2,5,0,0.4,78.6,0.7,0,6.53,6.04,0.6,2.1,0.3,0.8,0.8
227,Sam Clucas ,27,1,Swansea  ,0,0,1,MF,0,0,0,23(6),2045,3,1,2,0,0.7,83.6,1.3,0,6.53,6.54,0.2,1.2,0.2,1,1
228,Shane Long ,31,0,Southampton  ,0,0,1,FW,1,0,0,15(15),1580,2,1,6,0,1.1,66.8,2.6,0,6.53,5.86,0.3,0.8,0.1,1,0.4
229,Isaac Hayden ,23,1,Newcastle United ,0,1,0,MF,0,0,0,15(11),1372,1,0,7,0,0.5,75.3,2,0,6.53,5.7,0.2,1.5,0.2,1.5,0.9
230,Charlie Austin ,29,1,Southampton  ,0,0,1,FW,1,0,0,10(14),1030,7,0,2,0,2,68.4,1.7,1,6.53,6.22,0.1,0.3,0.1,0.4,0
231,Erik Lamela ,26,0,Tottenham  ,1,0,0,MF,0,0,0,7(18),832,2,2,4,0,0.8,82.7,0.2,0,6.52,5.96,0.9,0.9,0,0.2,0.3
232,Tom Carroll ,26,1,Swansea  ,0,0,1,MF,0,0,0,28(9),2570,0,4,3,0,0.5,82.6,0.3,0,6.52,5.9,0.4,1.4,0.2,0.4,0.8
233,Danny Welbeck ,27,1,Arsenal  ,0,1,0,FW,1,0,0,12(16),1185,5,2,1,0,1.1,79.8,0.9,2,6.52,5.77,0.5,0.7,0,0.4,0.4
234,Chris L?we ,29,1,Huddersfield  ,0,0,1,DF,0,0,1,19(4),1594,0,0,1,0,0.3,72.5,0.5,0,6.51,6.09,0.2,1.9,0.3,2.4,1.5
235,Tommy Smith ,26,1,Huddersfield  ,0,0,1,DF,0,0,1,21(3),1908,0,1,7,0,0.3,70.7,0.8,1,6.51,6.4,0.4,1.6,0.3,3,1.1
236,Roberto Pereyra ,27,0,Watford  ,0,1,0,MF,0,0,0,18(14),1622,5,2,3,0,1,84.9,0.1,1,6.51,6.19,1,0.3,0,0.1,0.3
237,Christian Atsu ,26,0,Newcastle United ,0,1,0,MF,0,0,0,19(9),1782,2,2,1,0,1.3,77.2,0.5,0,6.5,6.18,1,0.6,0.2,0.7,0.5
238,Florent Hadergjonaj ,23,1,Huddersfield  ,0,0,1,DF,0,0,1,19(4),1673,0,1,3,0,0.3,66.8,0.7,0,6.5,6.05,0.7,0.9,0.4,1.7,0.7
239,Javier Manquillo ,24,1,Newcastle United ,0,1,0,DF,0,0,1,20(1),1759,0,1,2,0,0.1,75,1,0,6.49,6.2,0.6,1.7,0.3,2.3,0.9
240,Dwight Gayle ,27,1,Newcastle United ,0,1,0,FW,1,0,0,23(12),1961,6,3,3,0,1.6,72.3,1.9,2,6.49,5.92,0.3,0.3,0.1,0.5,0.2
241,Declan Rice ,19,1,West Ham ,0,1,0,DF,0,0,1,15(11),1424,0,0,1,0,0.2,78.6,1.2,0,6.49,6.29,0.1,1.4,0.5,2.7,1
242,Darren Fletcher ,34,1,Stoke  ,0,0,1,MF,0,0,0,25(2),2223,1,1,0,0,0.4,78.5,0.8,0,6.48,5.9,0.6,1.7,0.1,1.1,0.9
243,Kelechi Iheanacho ,21,0,Leicester  ,0,1,0,FW,1,0,0,7(14),827,3,3,2,0,1.4,79.3,0.3,0,6.48,5.71,0.6,0.4,0.1,0.2,0.1
244,Moussa Sissoko ,28,1,Tottenham  ,1,0,0,MF,0,0,0,15(18),1396,1,1,3,0,0.6,83.5,0.5,0,6.46,6.13,0.5,0.7,0,0.6,0.3
245,Sam Vokes ,28,1,Burnley  ,0,1,0,FW,1,0,0,7(23),980,4,1,3,0,1.1,49.4,4.1,1,6.46,5.86,0,0.1,0.1,0.5,0.1
246,Elias Kachunga ,26,0,Huddersfield  ,0,0,1,FW,1,0,0,17(2),1338,1,1,1,0,0.6,66.4,0.9,0,6.46,6.33,0.7,1.6,0.1,0.4,0.1
247,Ramadan Sobhi ,21,0,Stoke  ,0,0,1,MF,0,0,0,12(12),1234,2,0,2,0,0.5,77,0.5,0,6.46,6,1.3,1.3,0,0.5,0.6
248,Tom Ince ,26,1,Huddersfield  ,0,0,1,MF,0,0,0,27(6),2456,2,0,0,0,2.1,79.6,0.5,0,6.45,6.03,0.8,1.1,0,0.3,0.4
249,Demarai Gray ,22,1,Leicester  ,0,1,0,MF,0,0,0,17(18),1693,3,1,2,0,1,79.4,0.1,1,6.45,6.39,1.1,0.5,0,0.3,0.3
250,Ashley Westwood ,28,1,Burnley  ,0,1,0,MF,0,0,0,12(7),1108,0,1,2,0,0.4,81.6,0.5,0,6.41,5.97,0.1,0.7,0.5,0.8,1
251,Tom Davies ,20,1,Everton  ,0,1,0,MF,0,0,0,20(13),1905,2,1,7,0,0.6,78,0.6,0,6.41,5.96,0.8,0.9,0.2,0.5,0.7
252,Tammy Abraham ,20,1,Swansea  ,0,0,1,FW,1,0,0,15(16),1721,5,1,0,0,1.4,67.7,1.3,2,6.41,5.95,0.9,0.3,0,0.4,0
253,Dominic Solanke ,20,1,Liverpool  ,1,0,0,FW,1,0,0,5(16),583,1,1,0,0,1,75.1,1,0,6.4,6.57,0.4,0.3,0,0.3,0.1
254,Ezequiel Schelotto ,29,1,Brighton  ,0,1,0,DF,0,0,1,15(5),1316,0,0,3,0,0.3,75.6,1.4,0,6.39,6.09,0.8,1.1,0.2,2.6,1
255,Collin Quaner ,27,1,Huddersfield  ,0,0,1,FW,1,0,0,13(13),1273,0,4,4,0,0.6,74.2,0.6,0,6.39,6.21,0.9,0.8,0.2,0.5,0.4
256,Scott Malone ,27,1,Huddersfield  ,0,0,1,DF,0,0,1,12(10),1118,0,1,3,0,0.4,72,0.6,0,6.38,6.4,0.7,1.8,0.1,1.7,1.2
257,Jermain Defoe ,35,1,Bournemouth  ,0,1,0,FW,1,0,0,11(13),1085,4,1,1,0,1.1,74,0.1,1,6.38,6.31,0.1,0.5,0,0,0.2
258,James McClean ,29,1,West Bromwich Albion,0,0,1,MF,0,0,0,14(16),1397,1,0,7,0,1,72.8,0.5,0,6.38,6.15,0.8,1.3,0.1,0.5,0.6
259,Danny Williams ,29,0,Huddersfield  ,0,0,1,MF,0,0,0,11(9),1118,0,0,2,0,0.6,77.1,0.5,0,6.35,6.62,0.5,1.2,0.1,1.3,1.3
260,Jeff Hendrick ,26,1,Burnley  ,0,1,0,MF,0,0,0,29(5),2343,2,2,1,0,0.7,81,0.4,0,6.33,6.07,0.7,0.5,0.1,0.6,0.2
261,Martin Olsson ,30,1,Swansea  ,0,0,1,DF,0,0,1,36,3154,0,1,7,0,0.5,73.5,1.3,0,6.32,6.09,0.3,0.9,0.1,1.9,0.9
262,Marc Pugh ,31,1,Bournemouth  ,0,1,0,MF,0,0,0,11(9),983,0,0,2,0,1,80.2,0.4,0,6.31,6.33,1,0.4,0.1,0.7,0.7
263,Manolo Gabbiadini ,26,1,Southampton  ,0,0,1,FW,1,0,0,11(17),1076,5,0,2,0,0.8,70.9,0.5,0,6.3,6.32,0.2,0.1,0,0.2,0.1
264,Jacob Murphy ,23,1,Newcastle United ,0,1,0,MF,0,0,0,13(12),1145,1,1,0,0,0.9,65.5,0.3,0,6.29,6.12,1.4,0.5,0,0.4,0.2
265,Lys Mousset ,22,1,Bournemouth  ,0,1,0,FW,1,0,0,4(19),585,2,0,1,0,1,63.4,0.3,0,6.29,6.39,0.8,0.4,0.1,0.3,0.1
266,Hal Robson0Kanu ,29,1,West Bromwich Albion,0,0,1,FW,1,0,0,8(13),822,2,0,2,1,0.9,67.2,1.1,1,6.28,5.94,0.7,0.2,0.1,0.4,0.2
267,Nathan Dyer ,30,1,Swansea  ,0,0,1,MF,0,0,0,16(8),1313,0,0,2,0,0.4,81.1,0.2,0,6.28,6.1,1,0.9,0,0.1,0.5
268,Beram Kayal ,30,0,Brighton  ,0,1,0,MF,0,0,0,8(11),740,0,0,2,0,0.2,78.9,0.4,0,6.26,6.27,0.3,0.9,0.2,0.4,0.7
269,Andre Gray ,27,1,Watford  ,0,1,0,FW,1,0,0,16(15),1499,5,2,1,0,1.1,71.9,0.5,0,6.24,6.07,0.1,0.1,0,0.1,0.1
